user_id,item_id,rating,timestamp,age,gender,occupation,zipcode,title,release_date,genres
234,608,3,892078741,60,M,retired,94702,Spellbound,1945,"['Mystery', 'Romance', 'Thriller']"
880,92,4,880167778,13,M,student,83702,True Romance,1993,"['Action', 'Crime', 'Romance']"
548,9,1,891043008,51,M,writer,95468,Dead Man Walking,1995,['Drama']
868,218,3,877104913,21,M,programmer,55303,Cape Fear,1991,['Thriller']
213,756,2,878955319,33,M,executive,55345,Father of the Bride Part II,1995,['Comedy']
42,367,2,881109149,30,M,administrator,17870,Clueless,1995,['Comedy']
394,455,4,880889066,25,M,administrator,96819,Jackie Chan's First Strike,1997,['Action']
62,174,4,879374916,27,F,administrator,97214,Raiders of the Lost Ark,1981,"['Action', 'Adventure']"
22,127,5,878887869,25,M,writer,40206,"Godfather, The",1972,"['Action', 'Crime', 'Drama']"
665,135,4,884294880,25,M,administrator,55412,2001: A Space Odyssey,1968,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
514,274,4,876067433,27,M,programmer,20707,Sabrina,1995,"['Comedy', 'Romance']"
452,455,1,876297413,35,M,administrator,28018,Jackie Chan's First Strike,1997,['Action']
659,196,4,891384888,31,M,educator,54248,Dead Poets Society,1989,['Drama']
437,1267,4,880141528,27,F,other,20009,Clockers,1995,['Drama']
645,61,5,892054508,27,M,programmer,53211,Three Colors: White,1994,['Drama']
645,56,3,892053241,27,M,programmer,53211,Pulp Fiction,1994,"['Crime', 'Drama']"
632,131,4,879458941,18,M,student,55454,Breakfast at Tiffany's,1961,"['Drama', 'Romance']"
833,430,4,875133840,34,M,writer,90019,Duck Soup,1933,"['Comedy', 'War']"
933,180,5,874854723,28,M,student,48105,Apocalypse Now,1979,"['Drama', 'War']"
287,121,4,875334494,21,M,salesman,31211,Independence Day (ID4),1996,"['Action', 'Sci-Fi', 'War']"
532,120,2,888630742,20,M,student,92705,Striptease,1996,"['Comedy', 'Crime']"
645,1018,3,892053518,27,M,programmer,53211,Tie Me Up! Tie Me Down!,1990,['Drama']
294,363,1,889243393,34,M,technician,92110,Sudden Death,1995,['Action']
936,118,3,886833516,24,M,other,32789,Twister,1996,"['Action', 'Adventure', 'Thriller']"
705,566,4,883428058,21,F,student,54494,Clear and Present Danger,1994,"['Action', 'Adventure', 'Thriller']"
445,208,2,890987712,21,M,writer,92653,Young Frankenstein,1974,"['Comedy', 'Horror']"
761,458,1,876190623,17,M,student,97302,Nixon,1995,['Drama']
293,56,4,888905550,24,M,writer,60804,Pulp Fiction,1994,"['Crime', 'Drama']"
393,15,3,887744266,19,M,student,83686,Mr. Holland's Opus,1996,['Drama']
289,1,3,876789736,11,M,none,94619,Toy Story,1995,"['Animation', ""Children's"", 'Comedy']"
94,939,4,885873423,26,M,student,71457,Murder in the First,1995,"['Drama', 'Thriller']"
346,549,4,874950966,34,M,other,76059,Rob Roy,1995,"['Drama', 'Romance', 'War']"
347,371,1,881654715,18,M,student,90210,"Bridges of Madison County, The",1996,"['Drama', 'Romance']"
